************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
*      272 *       272 * 8.7852599 *         0 *
*      273 *       273 * 4.1712156 *         0 *
*      274 *       274 *         0 *         0 *
*      275 *       275 *         0 * 4.7801240 *
*      276 *       276 *         0 * 6.1601035 *
*      277 *       277 * 9.6300517 *         0 *
*      278 *       278 * 7.6400815 *         0 *
*      279 *       279 * 7.8100791 *         0 *
*      280 *       280 *         0 * 4.5409969 *
*      281 *       281 * 4.2401323 *         0 *
*      282 *       282 *         0 * 7.3000864 *
*      283 *       283 * 11.160029 *         0 *
*      284 *       284 * 8.2100732 *         0 *
*      285 *       285 * 5.5301127 *         0 *
*      286 *       286 * 2.5744308 *         0 *
*      287 *       287 * 2.6167435 *         0 *
*      288 *       288 * 4.6601259 *         0 *
*      289 *       289 *         0 *         0 *
*      290 *       290 * 1.4304219 * 5.9229962 *
*      291 *       291 *         0 * 10.319556 *
*      292 *       292 * 7.7300800 *         0 *
*      293 *       293 * 10.250043 *         0 *
*      294 *       294 * 0.6001864 *         0 *
*      295 *       295 * 4.1701333 *         0 *
*      296 *       296 * 4.7501245 *         0 *
*      297 *       297 * 4.1289748 *         0 *
*      298 *       298 * 3.1849048 * 5.9051547 *
*      299 *       299 * 9.2532783 * 0.4767714 *
*      300 *       300 * 8.0300756 *         0 *
*      301 *       301 *         0 *         0 *
*      302 *       302 *         0 * 6.3301010 *
*      303 *       303 * 3.5501423 *         0 *
*      304 *       304 * 3.9894790 *         0 *
*      305 *       305 * 5.4001147 *         0 *
*      306 *       306 *         0 *         0 *
*      307 *       307 * 6.4548412 *         0 *
*      308 *       308 * 8.5300683 *         0 *
*      309 *       309 *         0 *         0 *
*      310 *       310 * 1.7234024 * 1.3210918 *
*      311 *       311 *         0 * 6.3110386 *
*      312 *       312 *         0 *         0 *
*      313 *       313 * 2.1202229 *         0 *
*      314 *       314 * 4.6301264 *         0 *
*      315 *       315 *         0 *         0 *
*      316 *       316 * 3.7478204 * 4.0498731 *
*      317 *       317 *         0 * 5.1201191 *
*      318 *       318 * 8.7107538 *         0 *
*      319 *       319 *         0 *         0 *
*      320 *       320 * 0.0775123 *         0 *
*      321 *       321 *         0 * 6.9050480 *
*      322 *       322 * 11.830018 *         0 *
*      323 *       323 * 3.9501364 *         0 *
*      324 *       324 * 0.6334139 * 1.4986398 *
*      325 *       325 *         0 * 3.4420018 *
*      326 *       326 *         0 *         0 *
*      327 *       327 * 10.010045 *         0 *
*      328 *       328 * 2.8881923 * 8.1418388 *
*      329 *       329 * 4.2360843 * 1.6895096 *
*      330 *       330 * 10.260042 *         0 *
*      331 *       331 *         0 *         0 *
*      332 *       332 * 8.2600722 *         0 *
*      333 *       333 *         0 * 6.4671272 *
*      334 *       334 * 0.0245006 * 2.3816807 *
*      335 *       335 * 7.0600898 *         0 *
*      336 *       336 *         0 * 4.2765546 *
*      337 *       337 * 4.7231528 * 3.1469252 *
*      338 *       338 *         0 * 0.0370006 *
*      339 *       339 * 6.8000937 *         0 *
*      340 *       340 *         0 * 12.210013 *
*      341 *       341 * 5.5821248 *         0 *
*      342 *       342 *         0 *         0 *
*      343 *       343 * 3.0120846 * 0.7187627 *
*      344 *       344 * 6.2001030 *         0 *
*      345 *       345 * 0.9101817 *         0 *
*      346 *       346 * 6.8155612 * 0.1098608 *
*      347 *       347 * 2.3201606 *         0 *
*      348 *       348 * 3.9701362 *         0 *
*      349 *       349 * 4.8708514 *         0 *
*      350 *       350 *         0 * 3.7539779 *
*      351 *       351 *         0 * 4.4162894 *
*      352 *       352 * 7.8500781 *         0 *
*      353 *       353 * 1.1601781 *         0 *
*      354 *       354 * 3.2001477 *         0 *
*      355 *       355 * 9.4100546 *         0 *
*      356 *       356 *         0 * 6.8200937 *
*      357 *       357 *         0 * 0.3761048 *
*      358 *       358 *         0 *         0 *
*      359 *       359 * 7.3400859 *         0 *
*      360 *       360 *         0 *         0 *
*      361 *       361 * 12.351269 *         0 *
